"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"C","0001.csv","70","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","71","","","","","","","","","","","","TRUE"
"C","0001.csv","74","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","75","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","76","","","","","","","","","","","","TRUE"
"C","0001.csv","80","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","81","","","","","","","","","","","","TRUE"
"C","0001.csv","101","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","102","","","","","","","","","","","","TRUE"
"C","0001.csv","104","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","105","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","106","","","","","","","","","","","","TRUE"
"C","0001.csv","113","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","114","","","","","","","","","","","","TRUE"
"C","0001.csv","115","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","116","","","","","","","","","","","","TRUE"
"C","0001.csv","133","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","134","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","135","","","","","","","","","","","","TRUE"
"C","0001.csv","183","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","184","","","","","","","","","","","","TRUE"
"C","0001.csv","287","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","288","","","","","","","","","","","","TRUE"
"C","0001.csv","296","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0001.csv","297","","","","","","","","","","","","TRUE"
