"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"C","0015.csv","2111","","","","","","","","","","","","TRUE"
"C","0015.csv","2112","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2113","","","","","","","","","","","","TRUE"
"C","0015.csv","2119","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2120","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2121","","","","","","","","","","","","TRUE"
"C","0015.csv","2125","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2126","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2127","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2128","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2129","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2130","","","","","","","","","","","","TRUE"
"C","0015.csv","2131","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2132","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2133","","","","","","","","","","","","TRUE"
"C","0015.csv","2235","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2236","","","","","","","","","","","","TRUE"
"C","0015.csv","2365","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2366","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2367","","","","","","","","","","","","TRUE"
"C","0015.csv","2368","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2369","","","","","","","","","","","","TRUE"
"C","0015.csv","2373","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2374","","","","","","","","","","","","TRUE"
"C","0015.csv","2387","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2388","","","","","","","","","","","","TRUE"
"C","0015.csv","2393","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2394","","","","","","","","","","","","TRUE"
