"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"C","0052.csv","2260","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2261","","","","","","","","","","","","TRUE"
"C","0052.csv","2265","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2266","","","","","","","","","","","","TRUE"
"C","0052.csv","2310","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2311","","","","","","","","","","","","TRUE"
"C","0052.csv","2319","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2320","","","","","","","","","","","","TRUE"
"C","0052.csv","2324","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2325","","","","","","","","","","","","TRUE"
"C","0052.csv","2342","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2343","","","","","","","","","","","","TRUE"
"C","0052.csv","2345","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2346","","","","","","","","","","","","TRUE"
