"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"C","0052.csv","856","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","857","","","","","","","","","","","","TRUE"
"C","0052.csv","876","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","877","","","","","","","","","","","","TRUE"
"C","0052.csv","931","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","932","","","","","","","","","","","","TRUE"
"C","0052.csv","938","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","939","","","","","","","","","","","","TRUE"
"C","0052.csv","960","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","961","","","","","","","","","","","","TRUE"
"C","0052.csv","987","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","988","","","","","","","","","","","","TRUE"
"C","0052.csv","1116","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1117","","","","","","","","","","","","TRUE"
"C","0052.csv","1322","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1323","","","","","","","","","","","","TRUE"
"C","0052.csv","1325","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1326","","","","","","","","","","","","TRUE"
"C","0052.csv","1409","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1410","","","","","","","","","","","","TRUE"
"C","0052.csv","1415","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1416","","","","","","","","","","","","TRUE"
"C","0052.csv","1432","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1433","","","","","","","","","","","","TRUE"
"C","0052.csv","1436","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1437","","","","","","","","","","","","TRUE"
"C","0052.csv","1465","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1466","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1467","","","","","","","","","","","","TRUE"
"C","0052.csv","1488","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1489","","","","","","","","","","","","TRUE"
"C","0052.csv","1507","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1508","","","","","","","","","","","","TRUE"
"C","0052.csv","1528","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1529","","","","","","","","","","","","TRUE"
"C","0052.csv","1545","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1546","","","","","","","","","","","","TRUE"
"C","0052.csv","1555","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1556","","","","","","","","","","","","TRUE"
"C","0052.csv","1557","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1558","","","","","","","","","","","","TRUE"
"C","0052.csv","1565","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1566","","","","","","","","","","","","TRUE"
"C","0052.csv","1621","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1622","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1623","","","","","","","","","","","","TRUE"
"C","0052.csv","1627","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1628","","","","","","","","","","","","TRUE"
"C","0052.csv","1670","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1671","","","","","","","","","","","","TRUE"
"C","0052.csv","1685","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1686","","","","","","","","","","","","TRUE"
"C","0052.csv","1689","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1690","","","","","","","","","","","","TRUE"
"C","0052.csv","1691","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1692","","","","","","","","","","","","TRUE"
"C","0052.csv","1719","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1720","","","","","","","","","","","","TRUE"
"C","0052.csv","1723","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1724","","","","","","","","","","","","TRUE"
"C","0052.csv","1738","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1739","","","","","","","","","","","","TRUE"
"C","0052.csv","1744","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1745","","","","","","","","","","","","TRUE"
"C","0052.csv","1754","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1755","","","","","","","","","","","","TRUE"
"C","0052.csv","1760","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1761","","","","","","","","","","","","TRUE"
"C","0052.csv","1770","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1771","","","","","","","","","","","","TRUE"
"C","0052.csv","1779","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1780","","","","","","","","","","","","TRUE"
"C","0052.csv","1782","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1783","","","","","","","","","","","","TRUE"
"C","0052.csv","1787","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1788","","","","","","","","","","","","TRUE"
"C","0052.csv","1821","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1822","","","","","","","","","","","","TRUE"
"C","0052.csv","1835","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1836","","","","","","","","","","","","TRUE"
"C","0052.csv","1917","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","","TRUE"
"C","0052.csv","1918","","","","","","","","","","","","TRUE"
"C","0052.csv","1930","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1931","","","","","","","","","","","","TRUE"
"C","0052.csv","1968","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1969","","","","","","","","","","","","TRUE"
"C","0052.csv","1972","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1973","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1974","","","","","","","","","","","","TRUE"
"C","0052.csv","1978","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1979","","","","","","","","","","","","TRUE"
"C","0052.csv","1988","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1989","","","","","","","","","","","","TRUE"
"C","0052.csv","1992","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1993","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1994","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","1995","","","","","","","","","","","","TRUE"
"C","0052.csv","2007","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2008","","","","","","","","","","","","TRUE"
"C","0052.csv","2017","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2018","","","","","","","","","","","","TRUE"
"C","0052.csv","2020","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2021","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2022","","","","","","","","","","","","TRUE"
"C","0052.csv","2037","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2038","","","","","","","","","","","","TRUE"
"C","0052.csv","2142","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2143","","","","","","","","","","","","TRUE"
"C","0052.csv","2175","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2176","","","","","","","","","","","","TRUE"
"C","0052.csv","2239","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0052.csv","2240","","","","","","","","","","","","TRUE"
