"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"C","0054.csv","1116","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1117","","","","","","","","","","","","TRUE"
"C","0054.csv","1184","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1185","","","","","","","","","","","","TRUE"
"C","0054.csv","1226","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1227","","","","","","","","","","","","TRUE"
"C","0054.csv","1253","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1254","","","","","","","","","","","","TRUE"
"C","0054.csv","1280","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1281","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1282","","","","","","","","","","","","TRUE"
"C","0054.csv","1396","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1397","","","","","","","","","","","","TRUE"
"C","0054.csv","1417","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1418","","","","","","","","","","","","TRUE"
"C","0054.csv","1517","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1518","","","","","","","","","","","","TRUE"
"C","0054.csv","1525","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1526","","","","","","","","","","","","TRUE"
"C","0054.csv","1594","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1595","","","","","","","","","","","","TRUE"
"C","0054.csv","1608","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1609","","","","","","","","","","","","TRUE"
"C","0054.csv","1766","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1767","","","","","","","","","","","","TRUE"
"C","0054.csv","1808","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1809","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1810","","","","","","","","","","","","TRUE"
"C","0054.csv","1841","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1842","","","","","","","","","","","","TRUE"
"C","0054.csv","1965","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1966","","","","","","","","","","","","TRUE"
"C","0054.csv","1972","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","1973","","","","","","","","","","","","TRUE"
"C","0054.csv","2045","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2046","","","","","","","","","","","","TRUE"
"C","0054.csv","2048","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2049","","","","","","","","","","","","TRUE"
"C","0054.csv","2064","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2065","","","","","","","","","","","","TRUE"
"C","0054.csv","2095","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2096","","","","","","","","","","","","TRUE"
"C","0054.csv","2097","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2098","","","","","","","","","","","","TRUE"
"C","0054.csv","2104","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2105","","","","","","","","","","","","TRUE"
"C","0054.csv","2113","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2114","","","","","","","","","","","","TRUE"
"C","0054.csv","2118","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2119","","","","","","","","","","","","TRUE"
"C","0054.csv","2123","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2124","","","","","","","","","","","","TRUE"
"C","0054.csv","2126","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0054.csv","2127","","","","","","","","","","","","TRUE"
