"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"C","0053.csv","1222","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0053.csv","1223","","","","","","","","","","","","TRUE"
"C","0053.csv","1489","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0053.csv","1490","","","","","","","","","","","","TRUE"
"C","0053.csv","2137","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0053.csv","2138","","","","","","","","","","","","TRUE"
